date,week,year,day,category,food_item,delivery_company,orders,staff_required
01/01/2022,52,2022,Saturday,mixed,Meat Samosa,JustEat,3,9
01/01/2022,52,2022,Saturday,vegan,Atkilt Wot,Deliveroo,3,9
01/01/2022,52,2022,Saturday,vegan,Shiro Wot,JustEat,1,9
01/01/2022,52,2022,Saturday,mixed,Lamb Tibs,Deliveroo,3,9
01/01/2022,52,2022,Saturday,mixed,Lamb Tibs,Deliveroo,2,9
01/01/2022,52,2022,Saturday,mixed,Doro Wot,UberEats,2,9
01/01/2022,52,2022,Saturday,mixed,Meat Combination,UberEats,1,9
01/01/2022,52,2022,Saturday,mixed,Key Wot,UberEats,2,9
01/01/2022,52,2022,Saturday,mixed,Meat Combination,Deliveroo,3,9
01/01/2022,52,2022,Saturday,mixed,Minchet Abish Wot,UberEats,1,9
01/01/2022,52,2022,Saturday,vegan,Veg Samosa,In-house,3,9
01/01/2022,52,2022,Saturday,mixed,Meat Combination,Deliveroo,1,9
01/01/2022,52,2022,Saturday,vegan,House Salad,UberEats,2,9
01/01/2022,52,2022,Saturday,vegan,Plain Rice,In-house,1,9
01/01/2022,52,2022,Saturday,vegan,Miser Kik,UberEats,2,9
01/01/2022,52,2022,Saturday,mixed,Awaze Tibs,UberEats,3,9
01/01/2022,52,2022,Saturday,vegan,Spinach,Deliveroo,2,9
01/01/2022,52,2022,Saturday,mixed,Awaze Tibs,UberEats,1,9
01/01/2022,52,2022,Saturday,mixed,Meat Samosa,JustEat,3,9
01/01/2022,52,2022,Saturday,mixed,Meat Samosa,In-house,3,9
01/01/2022,52,2022,Saturday,mixed,Minchet Abish Wot,JustEat,1,9
01/01/2022,52,2022,Saturday,mixed,Meat Combination,UberEats,3,9
01/01/2022,52,2022,Saturday,vegan,Veg Samosa,In-house,3,9
01/01/2022,52,2022,Saturday,mixed,Meat Samosa,Deliveroo,3,9
01/01/2022,52,2022,Saturday,mixed,Doro Wot,JustEat,2,9
01/01/2022,52,2022,Saturday,mixed,Minchet Abish Wot,In-house,3,9
01/01/2022,52,2022,Saturday,mixed,Chicken Tibs,In-house,1,9
01/01/2022,52,2022,Saturday,vegan,Miser Kik,Deliveroo,1,9
01/01/2022,52,2022,Saturday,vegan,Ye Som Fir Fir,JustEat,3,9
01/01/2022,52,2022,Saturday,mixed,Lamb Tibs,In-house,1,9
01/01/2022,52,2022,Saturday,vegan,Shiro Wot,In-house,2,9
01/01/2022,52,2022,Saturday,mixed,Minchet Abish Wot,JustEat,2,9
01/01/2022,52,2022,Saturday,mixed,Chicken Tibs,Deliveroo,2,9
01/01/2022,52,2022,Saturday,mixed,Key Wot,Deliveroo,3,9
01/01/2022,52,2022,Saturday,mixed,Beef Alicha,JustEat,1,9
01/01/2022,52,2022,Saturday,mixed,Minchet Abish Wot,Deliveroo,2,9
01/01/2022,52,2022,Saturday,vegan,Veg Combination,Deliveroo,3,9
01/01/2022,52,2022,Saturday,mixed,Chicken Tibs,UberEats,2,9
01/01/2022,52,2022,Saturday,vegan,Difen Miser Wot,JustEat,3,9
01/01/2022,52,2022,Saturday,vegan,Shiro Wot,In-house,2,9
01/01/2022,52,2022,Saturday,mixed,Beef Alicha,In-house,3,9
01/01/2022,52,2022,Saturday,mixed,Chicken Tibs,In-house,3,9
01/01/2022,52,2022,Saturday,vegan,Miser Kik,UberEats,3,9
01/01/2022,52,2022,Saturday,mixed,Meat Combination,In-house,1,9
01/01/2022,52,2022,Saturday,mixed,Chicken Tibs,Deliveroo,2,9
01/01/2022,52,2022,Saturday,mixed,Minchet Abish Wot,JustEat,3,9
01/01/2022,52,2022,Saturday,vegan,Ye Som Fir Fir,In-house,2,9
01/01/2022,52,2022,Saturday,vegan,Ye Som Fir Fir,JustEat,2,9
01/01/2022,52,2022,Saturday,vegan,Miser Kik,UberEats,3,9
01/01/2022,52,2022,Saturday,vegan,Ater Kik,UberEats,3,9
01/01/2022,52,2022,Saturday,vegan,Miser Kik,In-house,2,9
01/01/2022,52,2022,Saturday,vegan,Difen Miser Wot,JustEat,1,9
01/01/2022,52,2022,Saturday,vegan,Shiro Wot,UberEats,3,9
01/01/2022,52,2022,Saturday,mixed,Awaze Tibs,JustEat,1,9
01/01/2022,52,2022,Saturday,vegan,Fosolia,Deliveroo,3,9
01/01/2022,52,2022,Saturday,mixed,Meat Samosa,Deliveroo,3,9
01/01/2022,52,2022,Saturday,mixed,Meat Samosa,UberEats,2,9
01/01/2022,52,2022,Saturday,mixed,Lamb Tibs,JustEat,3,9
01/01/2022,52,2022,Saturday,vegan,Miser Kik,Deliveroo,3,9
01/01/2022,52,2022,Saturday,mixed,Key Wot,JustEat,2,9
01/01/2022,52,2022,Saturday,mixed,Key Wot,JustEat,1,9
01/01/2022,52,2022,Saturday,mixed,Beef Alicha,JustEat,3,9
01/01/2022,52,2022,Saturday,vegan,Miser Kik,UberEats,2,9
01/01/2022,52,2022,Saturday,mixed,Meat Samosa,Deliveroo,1,9
01/01/2022,52,2022,Saturday,vegan,Veg Samosa,Deliveroo,2,9
01/01/2022,52,2022,Saturday,mixed,Key Wot,Deliveroo,2,9
01/01/2022,52,2022,Saturday,vegan,Veg Samosa,JustEat,2,9
01/01/2022,52,2022,Saturday,vegan,Miser Kik,Deliveroo,3,9
01/01/2022,52,2022,Saturday,mixed,Minchet Abish Wot,In-house,2,9
01/01/2022,52,2022,Saturday,vegan,Veg Samosa,UberEats,3,9
01/01/2022,52,2022,Saturday,mixed,Key Wot,In-house,3,9
01/01/2022,52,2022,Saturday,vegan,Miser Kik,JustEat,2,9
01/01/2022,52,2022,Saturday,vegan,Ye Som Fir Fir,In-house,2,9
01/01/2022,52,2022,Saturday,mixed,Key Wot,UberEats,3,9
01/01/2022,52,2022,Saturday,mixed,Meat Combination,Deliveroo,1,9
01/01/2022,52,2022,Saturday,vegan,Difen Miser Wot,UberEats,1,9
01/01/2022,52,2022,Saturday,vegan,Plain Rice,Deliveroo,3,9
01/01/2022,52,2022,Saturday,mixed,Doro Wot,UberEats,3,9
02/01/2022,52,2022,Sunday,vegan,Ye Som Fir Fir,In-house,1,9
02/01/2022,52,2022,Sunday,mixed,Doro Wot,JustEat,2,9
02/01/2022,52,2022,Sunday,mixed,Lamb Tibs,UberEats,1,9
02/01/2022,52,2022,Sunday,vegan,Fosolia,In-house,3,9
02/01/2022,52,2022,Sunday,vegan,Ye Som Fir Fir,JustEat,3,9
02/01/2022,52,2022,Sunday,mixed,Doro Wot,JustEat,1,9
02/01/2022,52,2022,Sunday,vegan,Shiro Wot,Deliveroo,2,9
02/01/2022,52,2022,Sunday,vegan,Spinach,Deliveroo,2,9
02/01/2022,52,2022,Sunday,mixed,Doro Wot,In-house,1,9
02/01/2022,52,2022,Sunday,vegan,Fries,In-house,1,9
02/01/2022,52,2022,Sunday,vegan,Veg Samosa,In-house,1,9
02/01/2022,52,2022,Sunday,vegan,Fries,In-house,3,9
02/01/2022,52,2022,Sunday,mixed,Doro Wot,Deliveroo,3,9
02/01/2022,52,2022,Sunday,vegan,Ater Kik,UberEats,1,9
02/01/2022,52,2022,Sunday,vegan,Difen Miser Wot,JustEat,2,9
02/01/2022,52,2022,Sunday,mixed,Key Wot,JustEat,3,9
02/01/2022,52,2022,Sunday,vegan,Fosolia,UberEats,3,9
02/01/2022,52,2022,Sunday,vegan,Kategna,In-house,3,9
02/01/2022,52,2022,Sunday,mixed,Doro Wot,Deliveroo,3,9
02/01/2022,52,2022,Sunday,mixed,Chicken Tibs,UberEats,1,9
02/01/2022,52,2022,Sunday,mixed,Key Wot,UberEats,2,9
02/01/2022,52,2022,Sunday,mixed,Chicken Tibs,JustEat,3,9
02/01/2022,52,2022,Sunday,mixed,Doro Wot,Deliveroo,2,9
02/01/2022,52,2022,Sunday,vegan,Fries,In-house,2,9
02/01/2022,52,2022,Sunday,vegan,House Salad,JustEat,2,9
02/01/2022,52,2022,Sunday,vegan,Fosolia,UberEats,1,9
02/01/2022,52,2022,Sunday,vegan,Fries,UberEats,2,9
02/01/2022,52,2022,Sunday,mixed,Lamb Tibs,UberEats,2,9
02/01/2022,52,2022,Sunday,vegan,Fosolia,JustEat,3,9
02/01/2022,52,2022,Sunday,vegan,Ye Som Fir Fir,In-house,2,9
02/01/2022,52,2022,Sunday,vegan,Shiro Wot,UberEats,3,9
02/01/2022,52,2022,Sunday,mixed,Beef Alicha,UberEats,3,9
02/01/2022,52,2022,Sunday,mixed,Meat Samosa,JustEat,3,9
02/01/2022,52,2022,Sunday,mixed,Key Wot,In-house,2,9
02/01/2022,52,2022,Sunday,vegan,House Salad,JustEat,3,9
02/01/2022,52,2022,Sunday,vegan,Kategna,In-house,2,9
02/01/2022,52,2022,Sunday,mixed,Meat Combination,JustEat,1,9
02/01/2022,52,2022,Sunday,vegan,Kategna,Deliveroo,1,9
02/01/2022,52,2022,Sunday,vegan,Fries,Deliveroo,3,9
02/01/2022,52,2022,Sunday,vegan,Plain Rice,UberEats,1,9
02/01/2022,52,2022,Sunday,mixed,Chicken Tibs,JustEat,3,9
02/01/2022,52,2022,Sunday,vegan,Plain Rice,UberEats,3,9
02/01/2022,52,2022,Sunday,vegan,Atkilt Wot,In-house,2,9
02/01/2022,52,2022,Sunday,vegan,Fries,Deliveroo,1,9
02/01/2022,52,2022,Sunday,vegan,Fries,In-house,2,9
02/01/2022,52,2022,Sunday,mixed,Minchet Abish Wot,UberEats,2,9
02/01/2022,52,2022,Sunday,vegan,Fries,JustEat,1,9
02/01/2022,52,2022,Sunday,vegan,Fosolia,JustEat,1,9
02/01/2022,52,2022,Sunday,vegan,Kategna,JustEat,1,9
02/01/2022,52,2022,Sunday,mixed,Doro Wot,JustEat,2,9
02/01/2022,52,2022,Sunday,mixed,Meat Samosa,In-house,3,9
02/01/2022,52,2022,Sunday,mixed,Beef Alicha,JustEat,1,9
02/01/2022,52,2022,Sunday,vegan,House Salad,Deliveroo,2,9
02/01/2022,52,2022,Sunday,mixed,Minchet Abish Wot,JustEat,1,9
02/01/2022,52,2022,Sunday,mixed,Meat Samosa,In-house,2,9
02/01/2022,52,2022,Sunday,vegan,Plain Rice,Deliveroo,1,9
02/01/2022,52,2022,Sunday,vegan,Plain Rice,Deliveroo,3,9
02/01/2022,52,2022,Sunday,mixed,Doro Wot,JustEat,2,9
02/01/2022,52,2022,Sunday,vegan,Kategna,Deliveroo,1,9
03/01/2022,1,2022,Monday,vegan,Ater Kik,Deliveroo,1,5
03/01/2022,1,2022,Monday,mixed,Meat Samosa,JustEat,1,5
03/01/2022,1,2022,Monday,mixed,Meat Combination,JustEat,1,5
03/01/2022,1,2022,Monday,vegan,Ye Som Fir Fir,In-house,1,5
03/01/2022,1,2022,Monday,mixed,Beef Alicha,UberEats,1,5
03/01/2022,1,2022,Monday,mixed,Meat Samosa,In-house,1,5
03/01/2022,1,2022,Monday,mixed,Doro Wot,JustEat,1,5
03/01/2022,1,2022,Monday,mixed,Key Wot,Deliveroo,1,5
03/01/2022,1,2022,Monday,mixed,Beef Alicha,In-house,1,5
03/01/2022,1,2022,Monday,vegan,Veg Combination,Deliveroo,1,5
03/01/2022,1,2022,Monday,vegan,Plain Rice,In-house,1,5
04/01/2022,1,2022,Tuesday,vegan,House Salad,In-house,1,5
04/01/2022,1,2022,Tuesday,mixed,Key Wot,UberEats,1,5
04/01/2022,1,2022,Tuesday,vegan,Shiro Wot,UberEats,1,5
04/01/2022,1,2022,Tuesday,vegan,Veg Combination,Deliveroo,1,5
04/01/2022,1,2022,Tuesday,mixed,Meat Combination,Deliveroo,1,5
04/01/2022,1,2022,Tuesday,mixed,Chicken Tibs,In-house,1,5
04/01/2022,1,2022,Tuesday,vegan,Atkilt Wot,In-house,1,5
04/01/2022,1,2022,Tuesday,vegan,Difen Miser Wot,In-house,1,5
04/01/2022,1,2022,Tuesday,mixed,Doro Wot,Deliveroo,1,5
04/01/2022,1,2022,Tuesday,vegan,Plain Rice,Deliveroo,1,5
04/01/2022,1,2022,Tuesday,vegan,Veg Combination,JustEat,1,5
04/01/2022,1,2022,Tuesday,vegan,Shiro Wot,Deliveroo,1,5
04/01/2022,1,2022,Tuesday,mixed,Doro Wot,In-house,1,5
04/01/2022,1,2022,Tuesday,vegan,Ater Kik,In-house,1,5
04/01/2022,1,2022,Tuesday,mixed,Lamb Tibs,JustEat,1,5
04/01/2022,1,2022,Tuesday,vegan,House Salad,JustEat,1,5
04/01/2022,1,2022,Tuesday,vegan,Kategna,UberEats,1,5
