date,week,year,day,category,food_item,price,delivery_company,orders,staff_required,revenue
01/01/2022,52,2022,Saturday,mixed,Meat Samosa,4.5,Deliveroo,3,9,13.5
01/01/2022,52,2022,Saturday,vegan,Atkilt Wot,10.9,UberEats,3,9,32.7
01/01/2022,52,2022,Saturday,vegan,Shiro Wot,11.9,UberEats,1,9,11.9
01/01/2022,52,2022,Saturday,mixed,Lamb Tibs,15.9,Deliveroo,3,9,47.7
01/01/2022,52,2022,Saturday,mixed,Lamb Tibs,15.9,Deliveroo,2,9,31.8
01/01/2022,52,2022,Saturday,mixed,Doro Wot,13.9,Deliveroo,2,9,27.8
01/01/2022,52,2022,Saturday,mixed,Meat Combination,16.9,In-house,1,9,16.9
01/01/2022,52,2022,Saturday,mixed,Key Wot,14.9,JustEat,2,9,29.8
01/01/2022,52,2022,Saturday,mixed,Meat Combination,16.9,Deliveroo,3,9,50.7
01/01/2022,52,2022,Saturday,mixed,Minchet Abish Wot,9.9,UberEats,1,9,9.9
01/01/2022,52,2022,Saturday,vegan,Veg Samosa,4.5,JustEat,3,9,13.5
01/01/2022,52,2022,Saturday,mixed,Meat Combination,16.9,In-house,1,9,16.9
01/01/2022,52,2022,Saturday,vegan,House Salad,4.5,In-house,2,9,9.0
01/01/2022,52,2022,Saturday,vegan,Plain Rice,3.5,UberEats,1,9,3.5
01/01/2022,52,2022,Saturday,vegan,Miser Kik,10.9,In-house,2,9,21.8
01/01/2022,52,2022,Saturday,mixed,Awaze Tibs,15.9,In-house,3,9,47.7
01/01/2022,52,2022,Saturday,vegan,Spinach,10.9,JustEat,2,9,21.8
01/01/2022,52,2022,Saturday,mixed,Awaze Tibs,15.9,Deliveroo,1,9,15.9
01/01/2022,52,2022,Saturday,mixed,Meat Samosa,4.5,UberEats,3,9,13.5
01/01/2022,52,2022,Saturday,mixed,Meat Samosa,4.5,JustEat,3,9,13.5
01/01/2022,52,2022,Saturday,mixed,Minchet Abish Wot,9.9,In-house,1,9,9.9
01/01/2022,52,2022,Saturday,mixed,Meat Combination,16.9,Deliveroo,3,9,50.7
